"";"x";"y"
"124";" prometedor ";"1"
"125";" proper ";"1"
"126";" reanimar-se ";"1"
"127";" recte ";"1"
"128";" rialler ";"1"
"129";" satisfer ";"1"
"130";" satisfet ";"1"
"131";" satisfet_de_si_mateix ";"1"
"132";" seductor ";"1"
"133";" seduir ";"1"
"134";" serè ";"1"
"135";" simpatia ";"1"
"136";" solaçar ";"1"
"137";" somrient ";"1"
"138";" superior ";"1"
"139";" superior ";"1"
"140";" tendre ";"1"
"141";" tendresa ";"1"
"142";" tranquil ";"1"
"143";" tranquil·litzador ";"1"
"144";" tranquil·litzar ";"1"
"145";" tranquil·litzat ";"1"
"146";" traçut ";"1"
"147";" triomfador ";"1"
"148";" triomfant ";"1"
"149";" tònic ";"1"
"150";" ufanós ";"1"
"151";" utilitat ";"1"
"152";" victoriós ";"1"
"153";" vigoritzador ";"1"
"154";" vigoritzant ";"1"
"155";" àvid ";"1"
"156";" íntim ";"1"
"157";" útil ";"1"
"158";" abatiment ";"-1"
"159";" abatre ";"-1"
"160";" abatut ";"-1"
"161";" abominar ";"-1"
"162";" aflicció ";"-1"
"163";" aflictiu ";"-1"
"164";" afligidor ";"-1"
"165";" afligiment ";"-1"
"166";" afligir ";"-1"
"167";" afligir-se ";"-1"
"168";" afligit ";"-1"
"169";" agravi ";"-1"
"170";" agressivitat ";"-1"
"171";" agreujat ";"-1"
"172";" alacaigut ";"-1"
"173";" alarma ";"-1"
"174";" alarmar ";"-1"
"175";" alarmat ";"-1"
"176";" alertar ";"-1"
"177";" alinear-se_amb ";"-1"
"178";" alterat ";"-1"
"179";" amargor ";"-1"
"180";" amoïnar ";"-1"
"181";" amoïnar-se ";"-1"
"182";" angoixa ";"-1"
"183";" angoixar-se ";"-1"
"184";" angoixat ";"-1"
"185";" animadversió ";"-1"
"186";" ansietat ";"-1"
"187";" antipatia ";"-1"
"188";" apenar ";"-1"
"189";" apesarat ";"-1"
"190";" apocament ";"-1"
"191";" apocar ";"-1"
"192";" aprensiu ";"-1"
"193";" aprensió ";"-1"
"194";" apurar-se ";"-1"
"195";" atabalar ";"-1"
"196";" atabuixar ";"-1"
"197";" atac_de_pànic ";"-1"
"198";" aterridor ";"-1"
"199";" aterrit ";"-1"
"200";" atroç ";"-1"
"201";" autocompassió ";"-1"
"202";" avar ";"-1"
"203";" avariciós ";"-1"
"204";" avergonyiment ";"-1"
"205";" avergonyir ";"-1"
"206";" avergonyir-se ";"-1"
"207";" avergonyit ";"-1"
"208";" aversió ";"-1"
"209";" avorrir ";"-1"
"210";" aïrament ";"-1"
"211";" aïrar-se ";"-1"
"212";" aïrat ";"-1"
"213";" basarda ";"-1"
"214";" bel·ligerància ";"-1"
"215";" calamitós ";"-1"
"216";" capbaix ";"-1"
"217";" capmoix ";"-1"
"218";" colèric ";"-1"
"219";" commiseració ";"-1"
"220";" compadir ";"-1"
"221";" compadir-se ";"-1"
"222";" compassió ";"-1"
"223";" compassió_de_si_mateix ";"-1"
"224";" compunció ";"-1"
"225";" consternació ";"-1"
"226";" contrarietat ";"-1"
"227";" contrició ";"-1"
"228";" cremor_d'estòmac ";"-1"
"229";" cruel ";"-1"
"230";" crueltat ";"-1"
"231";" culpabilitat ";"-1"
"232";" cínic ";"-1"
"233";" decaigut ";"-1"
"234";" defalliment ";"-1"
"235";" defraudat ";"-1"
"236";" demolidor ";"-1"
"237";" denigrant ";"-1"
"238";" deplorar ";"-1"
"239";" depre ";"-1"
"240";" depriment ";"-1"
"241";" deprimir ";"-1"
"242";" deprimit ";"-1"
"243";" desacreditat ";"-1"
"244";" desagradable ";"-1"
"245";" desagradar ";"-1"
"246";" desagraïment ";"-1"
"247";" desanimar ";"-1"
"248";" desanimat ";"-1"
"249";" desaprovar ";"-1"
"250";" desassossec ";"-1"
"251";" desassossegat ";"-1"
"252";" desconfortar ";"-1"
"253";" desconsol ";"-1"
"254";" desconsolació ";"-1"
"255";" desconsolat ";"-1"
"256";" descontentar ";"-1"
"257";" descoratjador ";"-1"
"258";" descoratjament ";"-1"
"259";" descoratjar ";"-1"
"260";" desdeny ";"-1"
"261";" desdenyar ";"-1"
"262";" desemparament ";"-1"
"263";" desemparança ";"-1"
"264";" desesperançat ";"-1"
"265";" desgrat ";"-1"
"266";" desgràcia ";"-1"
"267";" deshonorant ";"-1"
"268";" deshonrat ";"-1"
"269";" desil·lusionat ";"-1"
"270";" desitjar ";"-1"
"271";" desmoralitzar ";"-1"
"272";" desmoralitzat ";"-1"
"273";" despietat ";"-1"
"274";" despit ";"-1"
"275";" desplaure ";"-1"
"276";" destructiu ";"-1"
"277";" desànim ";"-1"
"278";" detestar ";"-1"
"279";" dificultós ";"-1"
"280";" difícil ";"-1"
"281";" disgust ";"-1"
"282";" disgustar ";"-1"
"283";" disgustat ";"-1"
"284";" dissort ";"-1"
"285";" dissuadir ";"-1"
"286";" doldre's ";"-1"
"287";" dolgut ";"-1"
"288";" dolor ";"-1"
"289";" dolorit ";"-1"
"290";" dolorós ";"-1"
"291";" emmurriament ";"-1"
"292";" empaitar ";"-1"
"293";" empegueïment ";"-1"
"294";" empipador ";"-1"
"295";" empipament ";"-1"
"296";" empipat ";"-1"
"297";" emprenyador ";"-1"
"298";" emprenyat ";"-1"
"299";" encalçament ";"-1"
"300";" encolerir ";"-1"
"301";" encolerir-se ";"-1"
"302";" encongiment ";"-1"
"303";" enfadar-se ";"-1"
"304";" enfadat ";"-1"
"305";" enfadós ";"-1"
"306";" enfellonir ";"-1"
"307";" enfredorir ";"-1"
"308";" enfuriament ";"-1"
"309";" enfuriment ";"-1"
"310";" enfurir ";"-1"
"311";" enfurir-se ";"-1"
"312";" enrabiada ";"-1"
"313";" enrabiat ";"-1"
"314";" entristir ";"-1"
"315";" entristir-se ";"-1"
"316";" entristit ";"-1"
"317";" enutjar ";"-1"
"318";" enutjar-se ";"-1"
"319";" enutjat ";"-1"
"320";" enutjós ";"-1"
"321";" esborronant ";"-1"
"322";" escàs ";"-1"
"323";" esfereïdor ";"-1"
"324";" esgarrifós ";"-1"
"325";" esglaiat ";"-1"
"326";" espantat ";"-1"
"327";" espantós ";"-1"
"328";" esparverador ";"-1"
"329";" esquira ";"-1"
"330";" estremidor ";"-1"
"331";" exacerbació ";"-1"
"332";" exasperació ";"-1"
"333";" exasperant ";"-1"
"334";" exasperar ";"-1"
"335";" execració ";"-1"
"336";" execrar ";"-1"
"337";" fart ";"-1"
"338";" fastidiar ";"-1"
"339";" fastiguejar ";"-1"
"340";" fastiguejat ";"-1"
"341";" fastigós ";"-1"
"342";" fatal ";"-1"
"343";" fatigar ";"-1"
"344";" fellonia ";"-1"
"345";" fer_fàstic ";"-1"
"346";" forassenyat ";"-1"
"347";" frustració ";"-1"
"348";" furibund ";"-1"
"349";" furiós ";"-1"
"350";" fàstic ";"-1"
"351";" fúria ";"-1"
"352";" geniüt ";"-1"
"353";" histèria ";"-1"
"354";" horrible ";"-1"
"355";" horripilant ";"-1"
"356";" horror ";"-1"
"357";" horroritzar ";"-1"
"358";" horroritzat ";"-1"
"359";" horrorós ";"-1"
"360";" hostilitat ";"-1"
"361";" humiliar ";"-1"
"362";" hòrrid ";"-1"
"363";" ignominiós ";"-1"
"364";" inclement ";"-1"
"365";" incomodar ";"-1"
"366";" indignant ";"-1"
"367";" indignat ";"-1"
"368";" infelicitat ";"-1"
"369";" ingratitud ";"-1"
"370";" inhumanitat ";"-1"
"371";" inoportú ";"-1"
"372";" inquiet ";"-1"
"373";" inquietar-se ";"-1"
"374";" inquietud ";"-1"
"375";" insatisfet ";"-1"
"376";" insegur ";"-1"
"377";" inseguretat ";"-1"
"378";" inspirar_aversió ";"-1"
"379";" insuficient ";"-1"
"380";" insídia ";"-1"
"381";" intimidat ";"-1"
"382";" intolerable ";"-1"
"383";" intranquil ";"-1"
"384";" intranquil·litat ";"-1"
"385";" iracúndia ";"-1"
"386";" irascibilitat ";"-1"
"387";" irascible ";"-1"
"388";" irat ";"-1"
"389";" irritació ";"-1"
"390";" irritant ";"-1"
"391";" irritar ";"-1"
"392";" irritat ";"-1"
"393";" lamentable ";"-1"
"394";" llòbrec ";"-1"
"395";" lúgubre ";"-1"
"396";" macabre ";"-1"
"397";" mal_caràcter ";"-1"
"398";" mal_humor ";"-1"
"399";" mala_llet ";"-1"
"400";" maleficència ";"-1"
"401";" malenconia ";"-1"
"402";" malenconiós ";"-1"
"403";" maliciós ";"-1"
"404";" maligne ";"-1"
"405";" malignitat ";"-1"
"406";" malvat ";"-1"
"407";" malvolença ";"-1"
"408";" malèfic ";"-1"
"409";" malèvol ";"-1"
"410";" malícia ";"-1"
"411";" melancòlic ";"-1"
"412";" menyspreança ";"-1"
"413";" menysprear ";"-1"
"414";" menyspreu ";"-1"
"415";" misantropia ";"-1"
"416";" misantròpic ";"-1"
"417";" miserable ";"-1"
"418";" misogínia ";"-1"
"419";" misologia ";"-1"
"420";" misoneisme ";"-1"
"421";" moix ";"-1"
"422";" molest ";"-1"
"423";" molestar ";"-1"
"424";" monstruós ";"-1"
"425";" monòton ";"-1"
"426";" mortificar ";"-1"
"427";" mortificat ";"-1"
"428";" mosquejat ";"-1"
"429";" míser ";"-1"
"430";" múrria ";"-1"
"431";" nauseabund ";"-1"
"432";" negre ";"-1"
"433";" neguit ";"-1"
"434";" nerviós ";"-1"
"435";" obscur ";"-1"
"436";" odi ";"-1"
"437";" odiar ";"-1"
"438";" ofendre ";"-1"
"439";" ofenós ";"-1"
"440";" opressió ";"-1"
"441";" oprobiós ";"-1"
"442";" paorós ";"-1"
"443";" pena ";"-1"
"444";" penediment ";"-1"
"445";" penedit ";"-1"
"446";" penós ";"-1"
"447";" perjudicial ";"-1"
"448";" pertorbar ";"-1"
"449";" pesar ";"-1"
"450";" pesarós ";"-1"
"451";" pesat ";"-1"
"452";" pessimisme ";"-1"
"453";" pessimista ";"-1"
"454";" petrificat ";"-1"
"455";" plorós ";"-1"
"456";" poruc ";"-1"
"457";" preocupat ";"-1"
"458";" pressentiment ";"-1"
"459";" provocat ";"-1"
"460";" pudor ";"-1"
"461";" pànic ";"-1"
"462";" rabiós ";"-1"
"463";" rancor ";"-1"
"464";" rancúnia ";"-1"
"465";" rebequeria ";"-1"
"466";" recança ";"-1"
"467";" reguard ";"-1"
"468";" remordiment ";"-1"
"469";" repel·lir ";"-1"
"470";" repugnant ";"-1"
"471";" repugnar ";"-1"
"472";" repugnància ";"-1"
"473";" repulsiu ";"-1"
"474";" repulsió ";"-1"
"475";" repulsori ";"-1"
"476";" resignació ";"-1"
"477";" ressentiment ";"-1"
"478";" ressignat ";"-1"
"479";" ràbia ";"-1"
"480";" sentiment_de_classe ";"-1"
"481";" sentiment_de_culpa ";"-1"
"482";" simpatitzar ";"-1"
"483";" simpatitzar_amb ";"-1"
"484";" sortir_de_polleguera ";"-1"
"485";" sufocat ";"-1"
"486";" temença ";"-1"
"487";" temerós ";"-1"
"488";" temible ";"-1"
"489";" temor ";"-1"
"490";" temorós ";"-1"
"491";" tenir_ganes_de ";"-1"
"492";" terrible ";"-1"
"493";" terrorífic ";"-1"
"494";" terrífic ";"-1"
"495";" tribulació ";"-1"
"496";" trist ";"-1"
"497";" tristesa ";"-1"
"498";" tristor ";"-1"
"499";" turment ";"-1"
"500";" turmentar ";"-1"
"501";" témer ";"-1"
"502";" tírria ";"-1"
"503";" ultratjant ";"-1"
"504";" vergonya ";"-1"
"505";" vergonyós ";"-1"
"506";" vexació ";"-1"
"507";" vexador ";"-1"
"508";" vexant ";"-1"
"509";" vexar ";"-1"
"510";" vexatori ";"-1"
"511";" vilipendi ";"-1"
"512";" vomitiu ";"-1"
